name,co2,co2_date,region
CHINA,10773248000.0,2019,EAST AND SOUTHEAST ASIA
UNITED STATES,5144361000.0,2019,NORTH AMERICA
INDIA,2314738000.0,2019,SOUTH ASIA
RUSSIA,1848070000.0,2019,CENTRAL ASIA
JAPAN,1103234000.0,2019,EAST AND SOUTHEAST ASIA
GERMANY,726881000.0,2019,EUROPE
"KOREA, SOUTH",686954000.0,2019,EAST AND SOUTHEAST ASIA
IRAN,646038000.0,2019,MIDDLE EAST
CANADA,612084000.0,2019,NORTH AMERICA
SAUDI ARABIA,579925000.0,2019,MIDDLE EAST
INDONESIA,563543000.0,2019,EAST AND SOUTHEAST ASIA
SOUTH AFRICA,470358000.0,2019,AFRICA
MEXICO,463739000.0,2019,NORTH AMERICA
BRAZIL,456670000.0,2019,SOUTH AMERICA
AUSTRALIA,417870000.0,2019,AUSTRALIA AND OCEANIA
UNITED KINGDOM,398084000.0,2019,EUROPE
TURKEY (TURKIYE),391792000.0,2019,MIDDLE EAST
FRANCE,338425000.0,2019,EUROPE
ITALY,332041000.0,2019,EUROPE
THAILAND,305273000.0,2019,EAST AND SOUTHEAST ASIA
POLAND,304040000.0,2019,EUROPE
SPAIN,280624000.0,2019,EUROPE
TAIWAN,279206000.0,2019,EAST AND SOUTHEAST ASIA
UNITED ARAB EMIRATES,276236000.0,2019,MIDDLE EAST
KAZAKHSTAN,263689000.0,2019,CENTRAL ASIA
MALAYSIA,254764000.0,2019,EAST AND SOUTHEAST ASIA
VIETNAM,249929000.0,2019,EAST AND SOUTHEAST ASIA
SINGAPORE,238983000.0,2019,EAST AND SOUTHEAST ASIA
EGYPT,235137000.0,2019,AFRICA
NETHERLANDS,214416000.0,2019,EUROPE
PAKISTAN,193869000.0,2019,SOUTH ASIA
ARGENTINA,193205000.0,2019,SOUTH AMERICA
UKRAINE,185686000.0,2019,EUROPE
ALGERIA,151633000.0,2019,AFRICA
IRAQ,143479000.0,2019,MIDDLE EAST
PHILIPPINES,142282000.0,2019,EAST AND SOUTHEAST ASIA
BELGIUM,128247000.0,2019,EUROPE
QATAR,111922000.0,2019,MIDDLE EAST
TURKMENISTAN,109037000.0,2019,CENTRAL ASIA
NIGERIA,104494000.0,2019,AFRICA
VENEZUELA,103708000.0,2019,SOUTH AMERICA
UZBEKISTAN,102965000.0,2019,CENTRAL ASIA
CZECHIA,99533000.0,2019,EUROPE
BANGLADESH,96180000.0,2019,SOUTH ASIA
KUWAIT,92582000.0,2019,MIDDLE EAST
HONG KONG,92493000.0,2019,EAST AND SOUTHEAST ASIA
CHILE,88333000.0,2019,SOUTH AMERICA
COLOMBIA,81007000.0,2019,SOUTH AMERICA
OMAN,76321000.0,2019,MIDDLE EAST
GREECE,70163000.0,2019,EUROPE
ROMANIA,68746000.0,2019,EUROPE
AUSTRIA,65540000.0,2019,EUROPE
ISRAEL,61092000.0,2019,MIDDLE EAST
MOROCCO,60200000.0,2019,AFRICA
